UUID,Unité,mol éq. H+,kg éq. CFC 11,kg éq. CO2,kg éq. CO2.1,kg éq. CO2.2,kg éq. P,kg éq. N,mol éq. N,kg éq. COVNM,incidence de maladie,éq. kBq U235,MJ,kg éq. Sb,sans dimension (pt)
91efc8a2-ee30-4304-a76b-dc3f97578b98,Zamak - alliage de zinc (ZnAlMgCu)/Zamak zinc alloy (ZnAlMgCu),0.0299833,6.13818e-10,,0.0,,1.07649e-06,0.00373233,0.0406155,0.015277,4.9343e-07,4.799,57.0251,0.00432524,0.0
97ab2094-de60-404b-b5d8-3d1c2411ed79,Voies navigables maritimes - Infrastructure (fret)/Waterways - Maritime Infrastructure (freight),5.16307e-07,3.34402e-14,0.000141837,0.0,0.000141837,2.29604e-10,1.54285e-07,1.70191e-06,4.44477e-07,7.56761e-12,7.29695e-05,0.00144629,1.04345e-11,0.0
647f4fac-0bf9-4ac1-aba8-26e915d54a0f,Voies navigables fluviales - Infrastructure  (fret)/Waterways - Inland infrastructure (freight),5.80486e-05,2.79072e-12,0.0203857,0.0,0.0203857,2.36784e-07,1.82483e-05,0.000191844,5.64403e-05,6.21844e-10,0.00779917,0.287393,1.15606e-09,0.0
75595c9c-272d-4199-916b-821be3a81f1c,"Vinaigre blanc/Vinegar, white vinegar | Rec/S",0.000206225,1.0935e-08,0.217825,0.000404375,0.21742,3.6046e-05,0.000311104,0.00137865,0.000176524,5.08074e-09,3.70686,1.53672,3.93395e-07,7.48849
b3455361-9f10-f1a2-dca5-4efa272d619f,Verre plat moyen/Flat glass average,0.0137297,1.43777e-10,1.63941,0.0,1.63941,1.18553e-06,0.00285787,0.0335204,0.00774613,1.5484e-06,1.08291,21.9289,9.95934e-08,0.0
95ac753a-0aab-4c7e-965b-747257a17908,"Verre flotté plat, RER/Float flat glass, RER",0.0105805,4.67863e-11,1.28211,0.0,1.28211,1.50952e-06,0.00243876,0.0290431,0.00645716,1.36745e-06,0.332545,15.2866,4.57382e-08,0.0
729bb3f2-4a95-4391-bb0b-eac8d900fb7e,"Verre de sécurité laminé, RER/Laminated safety glass, RER",0.0217686,2.05643e-10,3.58025,0.0,3.58025,1.85392e-05,0.00482768,0.0590786,0.0122946,2.32517e-06,1.49924,48.485,1.82742e-07,0.0
d5ad9fee-8567-4d91-9cbb-e18c7cf03ecb,"Verre d'emballage, RER/Container glass, RER",0.00603509,4.1953e-11,0.825792,0.0,0.825792,4.81966e-07,0.00152254,0.017609,0.00308036,5.18869e-07,0.299017,,3.86005e-08,0.0
af995c78-f229-4052-b059-8338136f3fff,"Verre courbé, RER/Curved glass, RER",0.018407,3.38137e-10,2.44528,0.0,2.44528,1.64638e-06,0.00338082,0.0393072,0.00938055,1.46139e-06,2.59463,34.6584,2.05871e-07,0.0
077b1149-735b-482c-81ba-a53f27249026,"Verre à motifs, RER/Patterned glass, RER",0.0122014,4.64072e-11,1.19085,0.0,1.19085,4.00681e-07,0.00275405,0.032211,0.00740068,1.81636e-06,0.321559,15.8417,4.71708e-08,0.0
8723189e-cc9d-45d3-96da-47dc0ca0e1bc,"Vernis PU, GLO/PU Varnish, GLO",0.0395065,2.8044e-10,6.73434,0.0,6.73434,1.57101e-05,0.00789288,0.0852085,0.0236435,6.42235e-07,1.97791,33.9808,8.60346e-07,0.0
ea9a32a5-e578-62ad-2678-c491e19318ba,Mélange laque/vernis moyen/ varnish/lacquer average,0.0260018,1.9149e-10,5.56758,0.0,5.56758,1.30306e-05,0.00548314,0.0589462,0.0164688,4.40264e-07,1.31689,28.1993,6.69231e-07,0.0
c5665dec-97df-ba7c-6311-c972315da148,Mélange laque/vernis maximum/Mix varnish/lacquer maximum,0.0395065,2.8044e-10,7.0707,0.0,7.0707,1.65191e-05,0.00789288,0.0852085,0.0236435,6.42235e-07,1.97791,35.3687,8.60346e-07,0.0
81417795-935e-4a1c-b8f1-e957939b0fa4,"Vernis Acrylique, GLO/Acrylic Varnish, GLO",0.00712575,5.32183e-11,1.60778,0.0,1.60778,5.84861e-06,0.00154033,0.0164442,0.00498723,1.25871e-07,0.373614,9.81198,2.60869e-07,0.0
